time,open,high,low,close,CVD (Ouverture),CVD (Haut,CVD (Bas),CVD (Fermer)
2025-08-27T02:00:00+01:00,860.83,861.78,858.03,860.86,-988.234,-672.787,-2556.318,-2263.4590000000003
2025-08-27T03:00:00+01:00,860.87,864.37,858.68,862.86,-2263.4590000000003,-1414.7940000000003,-2417.3410000000003,-1624.3110000000006
2025-08-27T04:00:00+01:00,862.86,864.5,857.35,862.13,-1624.3110000000006,-1461.0190000000007,-4490.807000000001,-2764.8450000000007
2025-08-27T05:00:00+01:00,862.14,866.84,861.68,864.22,-2764.8450000000007,-769.9970000000008,-2810.7690000000007,-1478.0780000000007
2025-08-27T06:00:00+01:00,864.23,864.84,860.65,861.24,-1478.0780000000007,-1385.1420000000007,-2218.4800000000005,-1978.5590000000002
2025-08-27T07:00:00+01:00,861.24,861.5,858.18,858.76,-1978.5590000000002,-1922.4610000000002,-2595.4720000000007,-2497.5800000000004
2025-08-27T08:00:00+01:00,858.77,859.5,856.4,857.32,-2497.5800000000004,-2467.1290000000004,-3365.3410000000003,-3238.3560000000007
2025-08-27T09:00:00+01:00,857.33,858.6,852.9,857.23,-3238.3560000000007,-3198.4320000000007,-7595.555000000001,-6696.353000000001
2025-08-27T10:00:00+01:00,857.22,860,856.7,857.61,-6696.353000000001,-6514.910000000001,-6975.528000000001,-6891.457000000001
2025-08-27T11:00:00+01:00,857.6,859.5,856.32,856.76,-6891.457000000001,-6458.106000000002,-7059.278000000001,-6869.4940000000015
2025-08-27T12:00:00+01:00,856.76,860,856.48,859.31,-6869.4940000000015,-5739.245000000001,-6869.4940000000015,-5799.849000000001
2025-08-27T13:00:00+01:00,859.31,860.73,856.23,859.5,-5799.849000000001,-5643.002000000001,-6695.955000000002,-6401.8690000000015
2025-08-27T14:00:00+01:00,859.5,862.34,856.08,859.17,-6401.8690000000015,-6070.067000000002,-7074.655000000002,-6571.937000000002
2025-08-27T15:00:00+01:00,859.17,865.67,857.61,862.33,-6571.937000000002,-6329.639000000002,-10023.115000000002,-9907.504
2025-08-27T16:00:00+01:00,862.33,866,861.29,864.83,-9907.504,-9395.032000000001,-10818.565,-10799.114000000001
2025-08-27T17:00:00+01:00,864.83,866.42,861.13,864.26,-10799.114000000001,-10768.362000000001,-11383.015000000001,-11027.799
2025-08-27T18:00:00+01:00,864.25,866.86,862.03,866.09,-11027.799,-10772.756000000001,-11537.515000000001,-10982.946000000002
2025-08-27T19:00:00+01:00,866.09,867.1,862.95,862.95,-10982.946000000002,-10682.580000000002,-11243.651000000002,-11243.651000000002
